Time Stamp, Pressure, System State, Alarm State,,Second ,minutes ,hours,days,year,,,,,,,
1588809842750,14138922,d,1,,1588809842.75,26480164.0458333,441336.067430556,18389.0028096065,50.3808296153602,,,,,,,
1588809843000,14153442,d,1,,1588809843,26480164.05,441336.0675,18389.0028125,50.3808296232877,,,,,,,
1588809843250,14165767,d,1,,1588809843.25,26480164.0541667,441336.067569445,18389.0028153935,50.3808296312151,,,,,,,
1588809843500,14178850,d,1,,1588809843.5,26480164.0583333,441336.067638889,18389.002818287,50.3808296391426,,,,,,,
1588809843750,14191992,d,1,,1588809843.75,26480164.0625,441336.067708333,18389.0028211806,50.38082964707,,,,,,,
1588809844000,14204692,d,1,,1588809844,26480164.0666667,441336.067777778,18389.0028240741,50.3808296549975,,,,,,,
1588809844250,14218783,d,1,,1588809844.25,26480164.0708333,441336.067847222,18389.0028269676,50.3808296629249,,,,,,,
1588809844500,14231347,d,1,,1588809844.5,26480164.075,441336.067916667,18389.0028298611,50.3808296708524,,,,,,,
1588809844750,14245473,d,1,,1588809844.75,26480164.0791667,441336.067986111,18389.0028327546,50.3808296787798,,,,,,,
1588809845000,14258703,d,1,,1588809845,26480164.0833333,441336.068055556,18389.0028356481,50.3808296867072,,,,,,,
1588809845250,14271891,d,1,,1588809845.25,26480164.0875,441336.068125,18389.0028385417,50.3808296946347,,,,,,,
1588809845500,14286427,d,1,,1588809845.5,26480164.0916667,441336.068194444,18389.0028414352,50.3808297025621,,,,,,,
1588809845750,14300368,d,1,,1588809845.75,26480164.0958333,441336.068263889,18389.0028443287,50.3808297104896,,,,,,,
1588809846000,14313015,d,1,,1588809846,26480164.1,441336.068333333,18389.0028472222,50.3808297184171,,,,,,,
1588809846250,14327507,d,1,,1588809846.25,26480164.1041667,441336.068402778,18389.0028501157,50.3808297263445,,,,,,,
1588809846500,14340920,d,1,,1588809846.5,26480164.1083333,441336.068472222,18389.0028530093,50.380829734272,,,,,,,
1588809846750,14354469,d,1,,1588809846.75,26480164.1125,441336.068541667,18389.0028559028,50.3808297421994,,,,,,,
1588809847000,14367582,d,1,,1588809847,26480164.1166667,441336.068611111,18389.0028587963,50.3808297501268,,,,,,,
1588809847250,14382211,d,1,,1588809847.25,26480164.1208333,441336.068680556,18389.0028616898,50.3808297580543,,,,,,,
1588809847500,14396486,d,1,,1588809847.5,26480164.125,441336.06875,18389.0028645833,50.3808297659817,,,,,,,
1588809847750,14409587,d,1,,1588809847.75,26480164.1291667,441336.068819444,18389.0028674769,50.3808297739092,,,,,,,
1588809848000,14424573,d,1,,1588809848,26480164.1333333,441336.068888889,18389.0028703704,50.3808297818366,,,,,,,
1588809848250,14437577,d,1,,1588809848.25,26480164.1375,441336.068958333,18389.0028732639,50.3808297897641,,,,,,,
1588809848500,14451724,d,1,,1588809848.5,26480164.1416667,441336.069027778,18389.0028761574,50.3808297976915,,,,,,,
1588809848750,14466488,d,1,,1588809848.75,26480164.1458333,441336.069097222,18389.0028790509,50.380829805619,,,,,,,
1588809849000,14481232,d,1,,1588809849,26480164.15,441336.069166667,18389.0028819444,50.3808298135464,,,,,,,
1588809849250,14494903,d,1,,1588809849.25,26480164.1541667,441336.069236111,18389.002884838,50.3808298214739,,,,,,,
1588809849500,14509552,d,1,,1588809849.5,26480164.1583333,441336.069305556,18389.0028877315,50.3808298294013,,,,,,,
1588809849750,14524536,d,1,,1588809849.75,26480164.1625,441336.069375,18389.002890625,50.3808298373288,,,,,,,
1588809850000,14537597,d,1,,1588809850,26480164.1666667,441336.069444444,18389.0028935185,50.3808298452562,,,,,,,
1588809850250,14550841,d,1,,1588809850.25,26480164.1708333,441336.069513889,18389.002896412,50.3808298531837,,,,,,,
1588809850500,14564441,d,1,,1588809850.5,26480164.175,441336.069583333,18389.0028993056,50.3808298611111,,,,,,,
1588809850750,14579517,d,1,,1588809850.75,26480164.1791667,441336.069652778,18389.0029021991,50.3808298690386,,,,,,,
1588809851000,14592994,d,1,,1588809851,26480164.1833333,441336.069722222,18389.0029050926,50.380829876966,,,,,,,
1588809851250,14607127,d,1,,1588809851.25,26480164.1875,441336.069791667,18389.0029079861,50.3808298848935,,,,,,,
1588809851500,14620807,d,1,,1588809851.5,26480164.1916667,441336.069861111,18389.0029108796,50.3808298928209,,,,,,,
1588809851750,14634388,d,1,,1588809851.75,26480164.1958333,441336.069930556,18389.0029137731,50.3808299007484,,,,,,,
1588809852000,14648026,d,1,,1588809852,26480164.2,441336.07,18389.0029166667,50.3808299086758,,,,,,,
